direction,target_id,eligible,valid_trial_fraction,mean_matched_edges,blind_mean_heat,real_mean_heat,shuffled_mean_heat,delta_real_blind,delta_real_shuffled,blind_unique_heat_per_edge,real_unique_heat_per_edge,shuffled_unique_heat_per_edge,blind_related_fraction,real_related_fraction,shuffled_related_fraction,semantic_delta_real_blind,semantic_delta_real_shuffled
origin_to_transition,chunk:01a9a4e6ea6f58575231bc0e,1,1.0,7.0,0.6184070477406074,1.1904150982853792,0.6202443443879129,0.5720080505447718,0.5701707538974663,0.48777551088323257,0.5744705753881634,0.48649238296987923,0.16080024067388687,,0.16514320536258378,,
origin_to_transition,chunk:0650195aa0f79d2aaec3925e,1,1.0,7.0,0.29844426578640615,0.8681848187653963,0.29904405323530087,0.5697405529789902,0.5691407655300955,0.2496587682551033,0.414061176951347,0.24820292354103962,0.751307730508194,1.0,0.7477039837799332,0.248692269491806,0.2522960162200668
origin_to_transition,chunk:127fc3636f803f97105575ad,1,1.0,7.0,1.080300005940223,1.357047347955757,1.0800843126918247,0.27674734201553397,0.2769630352639323,0.7845627879286478,0.7362070794546256,0.7804693885729116,0.9728666666666667,,0.9695333333333334,,
origin_to_transition,chunk:128415c43dd5cae04cb76583,1,1.0,7.0,0.5012323174490974,0.9742586656196367,0.503328334911135,0.47302634817053935,0.47093033070850165,0.3997713539262392,0.5228079539803495,0.39831258730815505,0.12760577915376678,0.0,0.1286906624934794,-0.12760577915376678,-0.1286906624934794
origin_to_transition,chunk:18169c1dbba2907a3cfadef4,1,1.0,7.0,1.0984317450495351,1.362521052828465,1.0984824209462103,0.2640893077789299,0.26403863188225474,0.8000656340793094,0.7395165986511669,0.7978062152282421,0.9755072463768116,,0.9755072463768116,,
origin_to_transition,chunk:1d44e027d4c9dafbde8050a1,1,1.0,7.0,0.8977603979204533,1.24103071886438,0.8977886143076305,0.34327032094392684,0.34324210455674964,0.6572676535576241,0.6552493882884712,0.6543273184567581,0.9409804672539257,1.0,0.9352291586876037,0.0590195327460743,0.0647708413123963
origin_to_transition,chunk:373b61c72ce49ecf9f34bbfb,1,1.0,7.0,0.25400605031565476,0.5814341405220902,0.254628285547451,0.32742809020643543,0.3268058549746392,0.21632733443806065,0.34853266949419476,0.21639694726813263,0.7429879377997384,0.9265289098622432,0.7457661192656106,0.18354097206250486,0.18076279059663258
origin_to_transition,chunk:5155efd8c3288419f68fb155,1,1.0,7.0,1.0922486580118922,1.3656301161322488,1.0912401056501426,0.27338145812035664,0.2743900104821062,0.7941817886792962,0.7391334616034593,0.7911567268616779,0.9621338912133891,,0.9659807956104253,,
origin_to_transition,chunk:6a6f56de3ca6c558d8d78622,1,1.0,7.0,0.7392501436228827,1.4499380607271921,0.7418635758139863,0.7106879171043095,0.7080744849132058,0.5697607299535216,0.5318026278626937,0.5703197097113316,0.11588639200998752,,0.11912413358538122,,
origin_to_transition,chunk:8722ceaa74ecb0c8e285fc6f,1,1.0,7.0,0.4853240536238249,0.9487566126651458,0.4888715376851746,0.46343255904132086,0.45988507497997116,0.39568886132032527,0.5003370183363282,0.3965911264291992,0.18123780619986993,0.0,0.18094505494505495,-0.18123780619986993,-0.18094505494505495
origin_to_transition,chunk:8962bed7d63901564218076b,1,1.0,7.0,0.19544407789437518,0.5442638020924396,0.1958988500698144,0.34881972419806445,0.34836495202262524,0.1657401933703522,0.28577365796473125,0.16593891672331076,0.6274875233936369,0.6959915300142808,0.6295559355407016,0.06850400662064393,0.06643559447357927
origin_to_transition,chunk:9fb77421ec0ef8e6d78fc040,1,1.0,7.0,0.5392044386974197,0.9754106468803816,0.5389750947788937,0.43620620818296185,0.4364355521014879,0.4326052833871299,0.5227763304323462,0.430694126895518,0.13530054644808742,0.0,0.13157894736842105,-0.13530054644808742,-0.13157894736842105
origin_to_transition,chunk:a9659c505e49a3d42e4db844,0,0.0,,,,,,,,,,,,,,
origin_to_transition,chunk:b6d7dbad9577436ab92a61cd,1,1.0,7.0,0.6455457936115406,1.7654931008070407,0.6451152349908259,1.1199473071955,1.1203778658162147,0.499747709717729,0.4756287074643617,0.4991201599703858,0.7481179666278619,,0.7516840882694541,,
origin_to_transition,chunk:bc6649925656594e6ec68677,1,1.0,7.0,0.9126700058022285,1.2750970549480456,0.912399617006861,0.36242704914581714,0.3626974379411846,0.6708200797763917,0.686898145816117,0.668146395858912,0.9197647733792312,1.0,0.9222748135398737,0.08023522662076876,0.07772518646012627
origin_to_transition,chunk:bdb68aabe90b68e820bcc515,1,1.0,7.0,0.5944954057994846,1.0144495703059118,0.5957029199251114,0.4199541645064272,0.4187466503808004,0.4718908432221163,0.5585327732091895,0.4709084711292462,0.2333626244874048,,0.2326241134751773,,
origin_to_transition,chunk:c3ee8a1f1ff5c8662bfc3333,1,1.0,7.0,1.0925786922170417,1.3786910683318372,1.0914593973299296,0.28611237611479545,0.2872316710019076,0.795887475419865,0.7506780094329009,0.7938449611821397,0.9707317073170731,,0.9703252032520325,,
origin_to_transition,chunk:c5b57619b9b130cc30c81432,1,1.0,7.0,0.5757097112311534,1.0400919207831112,0.5767277429570906,0.46438220955195775,0.4633641778260206,0.4657159111724714,0.5590735301761215,0.4647828975319401,0.21952947845804988,,0.21256454388984508,,
origin_to_transition,chunk:d79171c9a68bd3a1a2ba6612,1,1.0,7.0,1.1083025535811688,1.3714193893640183,1.1086374126895782,0.2631168357828495,0.26278197667444014,0.803567709046703,0.7370897417628891,0.7988823542904712,0.9670868347338936,,0.9715277777777778,,
origin_to_transition,chunk:d96e6dc355c904b49f1f1236,1,1.0,7.0,0.4334501050339014,0.8782047685696909,0.4332261314474311,0.44475466353578946,0.44497863712225977,0.34578793744743513,0.4719207197160057,0.34505379506538136,0.3686471193415638,,0.3627070393374741,,
