direction,target_id,neighbor_count,spearman,map_spread,informative,heatmap_event_count,field_total_heat,max_active_nodes
transition_to_origin,chunk:89b6dba6c3ca2645a1b2618a,12,1.0,1.24105843111908,1,2955,8.908606705713623,277
transition_to_origin,chunk:90c159f3a371d7491d1e3024,12,0.986013986013986,1.429479871964115,1,2762,8.908889539827562,243
transition_to_origin,chunk:90c5478ec5b43dbd0f0d9006,9,0.9666666666666667,1.2688754500705721,1,2817,8.908987181403386,249
transition_to_origin,chunk:9aa2db6401c27d3deb8ade0c,11,0.990909090909091,1.0598464165789097,1,3061,8.908700004068889,265
transition_to_origin,chunk:a0fe5ebca4badb3844a8bccd,9,0.95,1.5132072017954825,1,2034,8.908602843446964,192
transition_to_origin,chunk:aaabe1523752fd3fa2a2866b,12,0.993006993006993,1.0900614418208372,1,2996,8.908701442259998,267
transition_to_origin,chunk:ad3699d09adb7f37b9f30c4a,8,0.9761904761904762,1.2227059987878532,1,2311,8.908700255967428,226
transition_to_origin,chunk:b23cb7eaae87d76ac50f9133,9,0.9166666666666666,1.39033187043858,1,2689,8.90870476365012,258
transition_to_origin,chunk:b43cb594526c55277cf93a21,8,0.9047619047619048,0.7428716733294864,1,2650,8.908796252812087,251
transition_to_origin,chunk:ba2c5a75c50fe1de5911398a,9,0.7166666666666667,0.6976878173804082,1,2740,8.908594542885833,257
transition_to_origin,chunk:bb5f975eeec2b993e7db9ac1,12,0.9020979020979021,0.5539817121926655,1,4016,8.90850639768655,414
transition_to_origin,chunk:bd41bd16a7eefde8e2c8a15c,12,0.9790209790209791,1.1573000432871883,1,2935,8.908987181403386,248
transition_to_origin,chunk:d86c2aae83cb52a76e2ef9f8,11,0.9454545454545454,1.4200590591277797,1,2716,8.908891165774252,248
transition_to_origin,chunk:e6e5c3c42746d4691fef50d1,7,0.8928571428571429,0.9417264677514399,1,2515,8.908404375290317,234
transition_to_origin,chunk:e91caab6e66ff7ba10110e56,8,0.9523809523809523,0.9835149336704561,1,3496,8.908420296399383,315
transition_to_origin,chunk:ea8f397990cf104864e04e9b,9,0.85,0.5951296901263554,1,2534,8.90870113811366,246
transition_to_origin,chunk:f794e170f590b044c70126a4,12,0.958041958041958,1.158564420748323,1,2956,8.908891271757424,247
