target,max_abs_deviation,1.0,10.0,100.0
chunk:01a9a4e6ea6f58575231bc0e,5.292865305708827e-05,0.1528216857595553,0.1527687571064982,0.15276158356319475
chunk:0650195aa0f79d2aaec3925e,0.0010752054010996215,0.658619530202202,0.6575443248011024,0.6575486217191671
chunk:127fc3636f803f97105575ad,0.016218603065838,0.8549623222113274,0.8387437191454894,0.8381325975985638
chunk:128415c43dd5cae04cb76583,0.00012649033487109607,0.1216626510088519,0.1215361606739808,0.12152942547879207
chunk:18169c1dbba2907a3cfadef4,0.018916368032501407,0.8588871010525241,0.8399707330200227,0.8394727870981736
chunk:1d44e027d4c9dafbde8050a1,0.013247880226476827,0.8222978263218228,0.809049946095346,0.8087984532572785
chunk:373b61c72ce49ecf9f34bbfb,0.0004113310623216071,0.70868194534869,0.7082706142863684,0.7082495174545851
chunk:5155efd8c3288419f68fb155,0.015962558021163198,0.855854966630946,0.8398924086097828,0.8392429195493996
chunk:6a6f56de3ca6c558d8d78622,0.0002714196821751169,0.1407796308180071,0.14050821113583198,0.14051482118387423
chunk:8722ceaa74ecb0c8e285fc6f,7.684830257620456e-06,0.14662735412989564,0.1466229717835852,0.14661528695332757
chunk:8962bed7d63901564218076b,0.00013432231717225296,0.5480127914588099,0.5478784691416376,0.5478812002445328
chunk:9fb77421ec0ef8e6d78fc040,0.0001147233807499981,0.12843708687546065,0.12832236349471066,0.1283328233916748
chunk:b6d7dbad9577436ab92a61cd,0.0012251430860176216,0.672287948559534,0.6710628054735164,0.6710391016810662
chunk:bc6649925656594e6ec68677,0.015141483808239209,0.8281361675098683,0.8129946837016291,0.8128297119755342
chunk:bdb68aabe90b68e820bcc515,0.0007068239347818583,0.19714450776320588,0.19643768382842403,0.19643400979791673
chunk:c3ee8a1f1ff5c8662bfc3333,0.016111993485381615,0.8559154558682932,0.8398034623829116,0.8392109316804262
chunk:c5b57619b9b130cc30c81432,0.0006847429843998276,0.1801292903704065,0.17944454738600668,0.17945207328138513
chunk:d79171c9a68bd3a1a2ba6612,0.01623414540458712,0.8609961457061921,0.844762000301605,0.8439681607457209
chunk:d96e6dc355c904b49f1f1236,0.001614234733621267,0.35427832307401924,0.352664088340398,0.3526582096075099
chunk:da11a50d9ac147f0f42efa40,0.00016056678150119796,0.13003994940999622,0.12987938262849502,0.12989807831040662
chunk:ffceb9939c29300973d8d7d8,0.0009182576636196094,0.2163690197824873,0.21545076211886768,0.21544984749426208
